"No.","Time","Source","Destination","Protocol","Length","Info"
"4940","242.619343","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#36] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4183560 SLE=4129604 SRE=4155474"
"4941","242.619368","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#37] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4185020 SLE=4129604 SRE=4155474"
"4942","242.619390","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#38] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4186480 SLE=4129604 SRE=4155474"
"4943","242.619411","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#39] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4187940 SLE=4129604 SRE=4155474"
"4944","242.619434","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#40] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4189400 SLE=4129604 SRE=4155474"
"4945","242.619455","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#41] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4190860 SLE=4129604 SRE=4155474"
"4946","242.619476","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#42] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4192320 SLE=4129604 SRE=4155474"
"4947","242.619499","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#43] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4193780 SLE=4129604 SRE=4155474"
"4948","242.619521","100.86.111.80","23.12.147.175","TCP","74","[TCP Dup ACK 4861#44] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4949","242.621813","23.12.147.175","100.86.111.80","TCP","1514","[TCP Previous segment not captured] 443  >  64109 [ACK] Seq=4196700 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4950","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=4198160 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4951","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4199620 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4952","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4201080 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4953","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4202540 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU], Application Data"
"4954","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4204000 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4955","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4205460 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4956","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4206920 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4957","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4208380 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4958","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4209840 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4959","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4211300 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4960","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=4212760 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4961","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4214220 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4962","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4215680 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4963","242.621813","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4217140 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"4964","242.621972","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#45] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4198160 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4965","242.622026","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#46] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4199620 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4966","242.622051","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#47] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4201080 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4967","242.622074","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#48] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4202540 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4968","242.622096","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#49] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4204000 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4969","242.622125","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#50] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4205460 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4970","242.622149","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#51] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4206920 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4971","242.622171","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#52] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4208380 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4972","242.622193","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#53] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4209840 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4973","242.622217","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#54] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4211300 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4974","242.622238","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#55] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4212760 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4975","242.622258","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#56] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4214220 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4976","242.622278","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#57] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4215680 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4977","242.622298","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#58] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4217140 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4978","242.622318","100.86.111.80","23.12.147.175","TCP","82","[TCP Dup ACK 4861#59] 64109  >  443 [ACK] Seq=17459 Ack=4128144 Win=262656 Len=0 SLE=4196700 SRE=4218600 SLE=4156934 SRE=4195240 SLE=4129604 SRE=4155474"
"4979","242.630865","23.12.147.175","100.86.111.80","TLSv1.3","1514","Application Data, Application Data"
"4980","242.630865","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=4220060 Ack=17459 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
